,Id,News_Headlines,Viral_Anticipated_News
40,40,Reliance JioMart launches WhatsApp order service for groceries in select cities,12
41,41,Billionaire Richard Branson looking for a buyer for Virgin Atlantic: Reports,14
42,42,Boeing terminates $4.2 billion deal to buy 80% of Embraer,14
43,43,Vodafone Idea will bounce back despite AGR stress: Bharti Infratel ,14
44,44,Reliance Home Finance defaults on over ₹70 cr term loan repayment,14
45,45,HDFC acquires 6.43% stake in Reliance Capital by invoking pledged shares,14
46,46,About 328 entities opt for RBI's 3-month moratorium on loan repayment: ICRA,15
47,47,"KKR-backed India Grid Trust seeks nearly ₹6,000 crore in solar assets",15
48,48,"Criticism of China over COVID-19 a distraction, it did many things right: Gates",16
49,49,Kim Jong-un is alive and well: S Korean govt adviser after reports of his death,16
50,50,Hundreds call US hotline to ask if they can inject disinfectants after Trump's remark,16
51,51,Coronavirus-hit economy to witness a V-shape recovery: Apple CEO to Trump,16
52,52,Dolphins swim close to Turkey shore amid coronavirus lockdown,16
53,53,"UK reports 413 coronavirus deaths in 24 hours, lowest daily death toll since March 31",16
54,54,Six new symptoms of coronavirus added by US' health protection agency,16
55,55,Pak cleric blames 'scantily dressed women' for coronavirus in presence of PM,17
56,56,Saudi Arabia ends death penalty for those who committed crimes as minors,18
57,57,Over 1 mn download Australia's COVID-19 tracing app despite privacy concerns,18
58,58,Beijing bans 'uncivilised' behaviour amid coronavirus pandemic,18
59,59,China sought out positive comments on handling of COVID-19: Germany,18
60,60,Russia's military reports nearly 900 coronavirus cases,18
61,61,India sends 1 lakh HCQ tablets to B'desh amid COVID-19 pandemic,18
62,62,Nepal rescuers recover bodies of S Korean trekkers after 3 months,18
63,63,"916 foreign workers test COVID-19 +ve in S'pore, cases cross 13,000",18
64,64,Japan adds Russia and 13 others to entry ban list amid COVID-19,18
65,65,US House Speaker Nancy Pelosi endorses Joe Biden for President,19
66,66,"Russia reports 6,361 new COVID-19 cases, total cases exceed 80,000",19
67,67,China confiscates 8.9 crore 'poor quality' face masks: Official,19
68,68,Animals at two mink farms in Netherlands found coronavirus +ve,20
69,69,Italy reports lowest daily coronavirus death toll since mid-March,20
70,70,Yemeni separatists declare self-rule in country's south,20
71,71,Violence increased in Afghanistan after US-Taliban peace deal: UN,20
72,72,COVID-19 situation is bad in Agra: Priyanka shares Mayor's letter to UP CM,20
73,73,Details of procurement of COVID-19 equipment must be made public: Cong,20
74,74,Centre sent faulty coronavirus testing kits to Bengal: Mamata,20
75,75,"Insensitive, inhuman: Rahul on Centre's freeze on DA over COVID-19",20
76,76,Govt proving its incompetence by knee-jerk COVID-19 response: Yechury to PM,20
77,77,IMCT means I Must Cause Trouble: O'Brien on central team's visit to WB,20
78,78,Don't get revenue just by starting wine shops: Sena on Raj Thackeray's demand,20
79,79,Imposing COVID cess on ultra-rich may make up for revenue loss: Kumaraswamy,21
80,80,Why didn't central teams visit states with higher cases than Bengal?: TMC,21
81,81,"West Bengal writes to Centre, assures cooperation to central teams",21
82,82,Govt making sanitiser for rich from poor people's share of rice: Rahul,22
83,83,UP CM's 'Agra Model' will turn city into Wuhan: Akhilesh on Mayor's letter,22
84,84,"Migrant workers are homesick, Centre must arrange for them to go home: Sena",23
85,85,12 crore job losses in 1st phase of coronavirus lockdown: Sonia,23
86,86,Pawar writes to PM on COVID-19 impact on Maharashtra; seeks 'generous' funds,23
87,87,"Sonia writes to PM, suggests 5 steps to help MSMEs amid COVID-19 crisis",23
88,88,"You can't have lockdown of people, lockout of economy: Sibal to govt",23
89,89,J'khand fruit sellers told to remove 'VHP approved Hindu fruit store' banner,23
90,90,4 Cong CMs demand financial help from Centre to fight COVID-19,23
91,91,Shivraj Singh Chouhan expands Cabinet month after taking oath as MP CM,23
92,92,Why govt not passing benefit of reduced oil prices: Congress,23
93,93,You entered into accusatory mode to cover up failures: Bengal Governor to Mamata,23
94,94,"Pawar condemns Palghar mob lynching, says no time to play politics",23
95,95,Centre acted on our Covid-19 suggestions in miserly way: Sonia,23
96,96,"I'm elected, you are nominated: WB CM Mamata to Governor",23
97,97,"Criticism of China over COVID-19 a distraction, it did many things right: Gates",24
98,98, Viral message forwards on WhatsApp drop 70% worldwide after new limits,24
99,99,B'luru hospital uses remote-controlled trolley to serve COVID-19 patients,24
100,100,Coronavirus-hit economy to witness a V-shape recovery: Apple CEO to Trump,24
101,101,"Apple, Google promise to shut COVID-19 tracker once containment ends",24
102,102,Amazon tests using video calls to screen sellers for frauds amid pandemic,25
103,103,"Google starts making face shields, donates 49,000 units to healthcare staff",25
104,104,10 lakh IT staff expected to work from home post lockdown: Infosys Co-founder,25
105,105,"Germany backs Apple-Google COVID-19 tracker, ditches homegrown alternative",25
106,106,Online auction of largest-ever whiskey collection witnesses cyber attack,25
107,107,My 1st Apple Watch prototype was iPod nano strapped to band: Ex-design head,25
108,108,Over 1 mn download Australia's COVID-19 tracing app despite privacy concerns,25
109,109,Reliance JioMart launches WhatsApp order service for groceries in select cities,26
110,110,Record 12.3 mn participate in Travis Scott concert hosted on Fortnite,26
111,111,Credit card records of millions exposed by New York startup: Reports,26
112,112,Five ex-workers of Huawei were arrested for discussing Iran sale: NYT,27
113,113,"Viral link on WhatsApp offers users free beer, Heineken calls it scam",27
114,114,Microsoft looking to invest in Paytm's $1 bn funding round: Reports,27
115,115,"Text bug with Italy flag, Sindhi characters crashes iOS devices: Report",27
116,116,Marine plastic pollution detected using satellite data: Study,27
117,117,Google exec's son praises Zoom in front of thousands of employees on Meet,27
118,118,Bitcoin for me is like poetry: Twitter CEO Jack Dorsey,28
119,119,"Amazon to be fined $108,000 for every non-essential item it delivers in France",29
120,120,Fan asks if Hrithik is smoking in pic with sons; actor replies 'I'm a non-smoker',29
121,121,Kanika Kapoor issues 1st statement after recovering from coronavirus,29
122,122,Kanika shares 1st pic from Lucknow home after statement on COVID-19 diagnosis,29
123,123,"If Khan saab doesn't work, I don't get work: SRK's lookalike on actor's break",29
124,124,"Akshay compared to Sonia & criticised for being 'Canadian', director defends him",31
125,125,Was told I can't donate blood as I'm gay: COVID-19 survivor Cohen,31
126,126,Aid we received amid lockdown not enough: Background dancer,31
127,127,"Had approached Ayushmann, Kartik for 'Hungama 2': Director",32
128,128,Cried after a man in India recognised me from Titanic: Kate,32
129,129,Plea against Vir Das' 'Hasmukh' for allegedly maligning lawyers,33
130,130,I'm so grateful you were born: Jessie on Tatum's 40th b'day,33
131,131,Artist Zarina Hashmi passes away in London at the age of 83,33
132,132,Extraction is biggest int'l debut I could dream of: Painyuli,33
133,133,Indian designers say they don't style singers: Neha Bhasin,33
134,134,It took me 3 years to get my Vogue cover: Kriti Sanon,34
135,135,Didn't get any award by government after Ramayan: Arun Govil,34
136,136,Last 2 yrs were quarantine for me anyway: Sonali on lockdown,35
137,137,Deverakonda donates ₹1.3 cr to help needy amid coronavirus,35
138,138,"I'm notoriously called Lara Paaji by Salman, Akshay: Lara",35
139,139,"Chris Pratt, wife Katherine expecting first child together",35
140,140,Dulquer apologises after 'Prabhakara' joke in film criticised,35
141,141,Over 30 Tamil producers support films' direct online release,35
142,142,I forced her into it: Sunny's husband Daniel on date night,35
143,143,"BMW launches Contactless Experience, a digital-first purchase experience",35
144,144,Automobile manufacturers asked to make ventilators: Health Ministry,35
145,145,"Detroit Auto Show cancelled, venue to be turned into a temporary field hospital",35
146,146,Mahindra says it won't invest further in South Korean unit SsangYong,35
147,147,Tesla posts video showing how it's building ventilators with car parts,35
148,148,Automobile sales in India suffer worst slump in 2 decades amid COVID-19,35
149,149,"Video shows Tesla on Autopilot stopping at red light automatically, Musk retweets",35
150,150,BMW India CEO Rudratej Singh passes away at 46 after cardiac arrest,35
151,151,TVS acquires 122-year-old British motorcycle company Norton,35
152,152,Tesla's Cybertruck can float for a while: Elon Musk,36
153,153,SC gives carmakers 10-day window to sell BS-IV stock after lockdown ends,36
154,154,"Hyundai provides COVID-19 testing kits that can diagnose 25,000 people to ICMR",36
155,155,Maruti Suzuki reports 47% drop in March sales due to coronavirus,36
156,156,Tata Motors' global sales fall by 35% in Q4 due to COVID-19,36
157,157,Indian automakers seek 10% tax cut to boost demand hit by COVID-19,36
158,158,"Maruti Suzuki, Hyundai to supply ventilators, testing kits to fight COVID-19",36
159,159,Two Tesla employees test positive for COVID-19: Reports ,37
160,160,"Tesla to suspend production at US factories, cut salaries by 10-30%",37
161,161,SoftBank to lead $300M-investment in Didi's self-driving unit: Report,37
162,162,Tesla adds Japan's Govt Pension Investment Fund ex-CIO to board,37
163,163,Self-driving car startup Zoox to settle trade secret theft lawsuit with Tesla,37
164,164,"Ford recalls 68,000 vehicles over rollaway risk",37
165,165,Maruti Suzuki cuts production by 32% in March,37
166,166,"Thousands of livelihoods at risk, need urgent steps: FADA in letter to PM Modi",39
167,167,Renault pulls out of venture with Dongfeng Motor in China over poor sales,39
168,168,You almost finished my son's career: Chris Broad told Yuvraj after his 6 sixes,39
169,169,Umar Akmal banned from all forms of cricket for 3 years over corruption,41
170,170,I'd still give him out: Gould on LBW decision against Sachin in Ind-Pak WC match,41
171,171,Australia players won't be greedy in pay talks: Paine over COVID-19,41
172,172,Tricky to train with same intensity amid lockdown: World no. 1 Barty,41
173,173,We're appalled: Everton after Moise Kean seen partying amid lockdown,42
174,174,"Chelsea opt against pay cut, tell players to donate to charity",42
175,175,NBA to reopen training facilities in places with eased restrictions,42
176,176,"Will go back to Italy, I have a contract with Milan: Zlatan Ibrahimovic",42
177,177,"French GP 10th F1 race to be called off, British GP likely without fans ",42
178,178,World no. 3 Thiem criticises fund to support lower-ranked tennis players,42
179,179,Arsenal 1st Premier League side to resume players' training amid COVID-19,42
180,180,East Bengal terminate players' contracts citing COVID-19 pandemic,42
181,181,Disheartened to hear about domestic violence amid lockdown: Dhawan,42
182,182,Total winner: Trump congratulates Triple H on his 25-year WWE anniversary,42
183,183,T20 WC win would've brought generational shift: Ex-skipper Anjum,42
184,184,"Dhoni's humility, gratitude sets him apart: Mohit Sharma",42
185,185,How can India keep Ashwin out from shorter formats: Pak's Saqlain Mushtaq,42
186,186,"Bowling to Kohli, Rohit will be a challenge at T20 WC: Pak's Haris Rauf",42
187,187,Could've sent off Maradona even before game started: 1990 WC final referee,42
188,188,"KL Rahul's bat auctioned for ₹2.64 lakh, Test jersey for ₹1.32 lakh",44
189,189,Williamson reveals his pick for best batsmen at the moment ,45
190,190,Harsha Bhogle reveals his all-time favourite Indian captain,45
191,191,I ended up crying: Hima Das on meeting 'role model' Tendulkar,45
192,192,We were fired through single e-mail without prior notice: Udaan contract staff,45
193,193,"Amazon, Flipkart urge govt to allow sale of non-essential items during lockdown",45
194,194,"Allow Amazon, Flipkart to sell fans, books: US-India advocacy body asks govt",45
195,195,Amazon tests using video calls to screen sellers for frauds amid pandemic,46
196,196,"Local is new global business plan, online-to-offline to be mainstream: Paytm CEO",46
197,197,"Alphabet's Pichai makes ₹2,140 crore in 2019, over 1,000 times the median pay",47
198,198,SoftBank to deploy funds from $13B unspent Vision Fund capital in India,47
199,199,"Bira beer maker raises ₹150 crore from Sequoia, Belgium-based Sofina",47
200,200,Trump says 'no $10B loan' for Postal Service unless it charges Amazon more,48
201,201,IIT Madras-incubated ed-tech startup GUVI raises ₹6 crore,48
202,202,"Mswipe not looking for buyer, has runway of over 36 months: Founder",49
203,203,"Amazon donates over $300,000 to UK bookshops to help fight COVID-19",49
204,204,China asks ByteDance to remove its work-from-home app: Report,49
205,205,"Amazon to be fined $108,000 for every non-essential item it delivers in France",50
206,206,Credit card records of millions exposed by New York startup: Reports,50
207,207,Amazon India allows local stores to sell groceries on its platform,50
208,208,Reliance JioMart launches WhatsApp order service for groceries in select cities,51
209,209,"CAIT, DPIIT to launch e-comm portal for local stores amid COVID-19",52
210,210,Tesla adds Japan's Govt Pension Investment Fund ex-CIO to board,52
211,211,Microsoft looking to invest in Paytm's $1 bn funding round: Reports,52
212,212,Amazon used its sellers' data to make competing products: Report,52
213,213,Record 12.3 mn participate in Travis Scott concert hosted on Fortnite,52
214,214,"We have to survive in crisis, can thrive later: Blume Ventures' Sanjay Nath",52
215,215,BigBasket invests ₹2.67 cr in recently-acquired startup DailyNinja,52
216,216,"Amazon, BigBasket, Grofers, MedLife celebrate spirit of delivery heroes",52
217,217,Delaying vaccination can increase the risk of getting sick: WHO,52
218,218,Asian Paints recreates 'Har Ghar Chup Chap Se Kehta Hai' ad film,52
219,219,"Woman's breast implant deflects bullet away from her heart, saves her life",52
220,220,My wife hates it when I work from home: Banksy shares graffiti from bathroom,52
221,221,19 top executives pledge ₹300 cr for a B-school where CEOs will teach,53
222,222,FLAME University admissions open for UG and PG programs for AY 2020,55
223,223,4-inch-long knife removed from Chinese man's head 26 yrs after he was stabbed,55
224,224,I think what would Mother Teresa do: Indian-origin man feeds 24k Kenyan families,55
225,225,"Light aircraft lands on Canada highway, traffic continues to move; video surfaces",55
226,226,You have to be someone to be insulted: Chetan Bhagat after Kunal Kamra trolls him,55
227,227,Andhra policeman rides horse painted with pics of coronavirus,55
228,228,68-year-old Nigerian woman gives birth to twins in her fourth IVF attempt,55
229,229,Rushing to get tested for coronavirus: Man speeding Lamborghini at 160 kmph in Aus,56
230,230,"3,000 square metre coronavirus-themed grass graffiti unveiled in Swiss Alps",56
231,231,"Maharashtra couple dig well outside house in 21 days, find water at 25 feet",56
232,232,'Rare' pair of sneakers made by Apple in 1990s auctioned for ₹7.3 lakh,57
233,233,Lions nap on South African national park's road during lockdown; pics go viral,57
234,234,"Couple gets married amid lockdown, families attend function via video conference",57
235,235,What is the theme of World Health Day 2020?,57
236,236,"Uttar Pradesh Minister gives hair-cut to children amid lockdown, shares video",57
237,237,US cancels Spelling Bee for 1st time since WWII due to COVID-19,58
238,238,"Rohtak court opens at night, man marries Mexican girl he met on a language app",59
239,239,"Australian family recreates 15-hour flight in living room, shares pics",59
240,240,"US reporter mistakenly turns on filters during Facebook live, video goes viral",59
241,241,US woman watering plant for two years realises it is made of plastic,61
242,242,People burn effigy based on theme of coronavirus for Holika Dahan in Mumbai ,62
243,243,Hospital staff in US dances whenever a patient taken off ventilator; video viral,62
244,244,"Brazil judge forgets camera is on during Zoom court hearing, appears shirtless",62
245,245,"Mahindra shares video of bank worker taking cheque with cooking tongs, ironing it",62
246,246,"'Pan Masala' delivered through drone in Gujarat during lockdown, 2 detained",62
247,247,'Wash hands' seen written in sky above Sydney amid coronavirus scare,63
248,248,Newspaper prints blank pages to help tackle toilet paper shortage in Australia,63
249,249,Robots wearing robes attend graduation ceremony in Japan amid coronavirus pandemic,63
250,250,Bride and groom get married over video call in Maharashtra amid lockdown,63
251,251,Pandas mate for 1st time in 10 years in Hong Kong zoo amid coronavirus lockdown,65
252,252,"UK woman shops in zorb ball to maintain social distance, video goes viral",66
253,253,"Italian man wears cardboard disc to keep distance amid coronavirus, pics viral",66
254,254,Newborn twins in Raipur named Corona and Covid,66
255,255,UK man drives 193 km amid lockdown to buy '₹93 cheaper' bread; fined,66
256,256,"Viral video shows pigeon flying in GoAir flight, passengers trying to catch it",66
257,257,"ITBP troopers dressed as bear chase monkeys, video surfaces",66
258,258,Effigy based on theme of coronavirus put up in Mumbai ahead of Holika Dahan,66
259,259,People in Maharashtra exercise on streets after all gyms shut in state,66
260,260,"Pilot draws heart shape in sky in Iceland to thank medical workers, pic surfaces",68
261,261,UK couple exchange onion rings after wedding gets cancelled over coronavirus,68
262,262,"Rohtak court opens at night, man marries Mexican girl he met on a language app",69
263,263,"Australian family recreates 15-hour flight in living room, shares pics",69
264,264,"US reporter mistakenly turns on filters during Facebook live, video goes viral",69
265,265,US woman watering plant for two years realises it is made of plastic,71
266,266,People burn effigy based on theme of coronavirus for Holika Dahan in Mumbai ,72
267,267,Hospital staff in US dances whenever a patient taken off ventilator; video viral,72
268,268,"Brazil judge forgets camera is on during Zoom court hearing, appears shirtless",72
269,269,"Mahindra shares video of bank worker taking cheque with cooking tongs, ironing it",72
270,270,"'Pan Masala' delivered through drone in Gujarat during lockdown, 2 detained",72
271,271,'Wash hands' seen written in sky above Sydney amid coronavirus scare,73
272,272,Newspaper prints blank pages to help tackle toilet paper shortage in Australia,73
273,273,Robots wearing robes attend graduation ceremony in Japan amid coronavirus pandemic,73
274,274,Bride and groom get married over video call in Maharashtra amid lockdown,73
275,275,Pandas mate for 1st time in 10 years in Hong Kong zoo amid coronavirus lockdown,75
276,276,"UK woman shops in zorb ball to maintain social distance, video goes viral",76
277,277,"Italian man wears cardboard disc to keep distance amid coronavirus, pics viral",76
278,278,Newborn twins in Raipur named Corona and Covid,76
279,279,UK man drives 193 km amid lockdown to buy '₹93 cheaper' bread; fined,76
280,280,"Viral video shows pigeon flying in GoAir flight, passengers trying to catch it",76
281,281,"ITBP troopers dressed as bear chase monkeys, video surfaces",76
282,282,Effigy based on theme of coronavirus put up in Mumbai ahead of Holika Dahan,76
283,283,People in Maharashtra exercise on streets after all gyms shut in state,76
284,284,"Pilot draws heart shape in sky in Iceland to thank medical workers, pic surfaces",78
285,285,UK couple exchange onion rings after wedding gets cancelled over coronavirus,78
286,286,"No new coronavirus case in 85 districts in 14 days; cases in India cross 28,000",78
287,287,Discussed extending lockdown post May 3 in the state: Meghalaya CM after PM meet,78
288,288,"58 active coronavirus cases in Gautam Buddha Nagar, green zones rise to 14",78
289,289,"PM said spike in COVID-19 cases could happen in June, July: Chhattisgarh Minister",78
290,290,Appeal to all to support Rajasthan's migrant workers returning home: CM,78
291,291,"No. of containment zones down from 1,036 to 805 in Mumbai",79
292,292,"Migrant workers are homesick, Centre must arrange for them to go home: Sena",80
293,293,Details of procurement of COVID-19 equipment must be made public: Cong,80
294,294,People from Haryana working in Delhi are 'corona-carriers': Haryana Minister,80
295,295,Lakhs and lakhs can't be quarantined by govt: WB CM Mamata allows home quarantine,80
296,296,Punjab policemen wear badge with name of Harjeet whose hand was chopped off in attack,80
297,297,"1 cured of COVID-19 discharged, total cases now 3: Puducherry Minister",80
298,298,PM announces COVID warriors website to connect people with local authorities,80
299,299,"Endangered Ganges River Dolphins spotted in Uttar Pradesh, video surfaces",80
300,300,"FB user says 'PM-backed firm' selling COVID-19 kits for ₹4,500, govt says fake news",81
301,301,60 Indian doctors dance to song 'Happy' amid coronavirus pandemic; video viral,81
302,302,Every 7th doctor in US is Indian and they're working as soldiers: AAPI Prez,81
303,303,Won't lose a single rupee: Govt clarifies after cancelling Chinese rapid test kits,81
304,304,KGMU becomes 1st govt hospital to launch plasma therapy for COVID-19,82
305,305,UP CM's 'Agra Model' will turn city into Wuhan: Akhilesh on Mayor's letter,82
306,306,"5 Northeast states coronavirus-free, no new cases in other 3: Jitendra Singh",82
307,307,Tamil Nadu builds walls at Andhra border to block movement of vehicles,82
308,308,ICMR asks states to stop using COVID-19 rapid test kits from 2 Chinese companies,82
309,309,Imposing COVID cess on ultra-rich may make up for revenue loss: Kumaraswamy,83
310,310,Have to give importance to economy along with fight against COVID-19: PM Modi,83
311,311,"Sonia writes to PM, suggests 5 steps to help MSMEs amid COVID-19 crisis",83
312,312,40% tax for those earning ₹1 cr to revive post COVID-19 economy: IRS officers,84
313,313,India to fast-track Chinese investment approvals after FDI changes: Report,84
314,314,10 lakh IT staff expected to work from home post lockdown: Infosys Co-founder,84
315,315,Millions may be pushed into poverty if lockdown isn't lifted soon: Ex-RBI Guv,84
316,316,Delhi's peak power demand falls up to 49% amid lockdown: Report,84
317,317,Singapore coastline packed with oil tankers amid slump in oil consumption,84
318,318,Made-in-India coronavirus vaccine could be ready in a year: Biocon MD,84
319,319,CBDT never asked IRS officers for suggestions on COVID-19 situation: I-T Dept,86
320,320,"CBI takes custody of DHFL's Kapil, Dheeraj Wadhawan from Satara",86
321,321,"RBI announces ₹50,000 crore special liquidity facility for mutual funds",87
322,322,"Tata Power, JSW Steel among companies seeking loan moratorium",87
323,323,UK economy may take until 2023 to fully recover from COVID-19: EY ITEM Club,87
324,324,"Tata Steel looking to get ₹4,718 cr bailout from UK government",87
325,325,India should convert world’s hatred for China into economic opportunity: Gadkari ,89
326,326,Reliance JioMart launches WhatsApp order service for groceries in select cities,90
327,327,Billionaire Richard Branson looking for a buyer for Virgin Atlantic: Reports,92
328,328,Boeing terminates $4.2 billion deal to buy 80% of Embraer,92
329,329,Vodafone Idea will bounce back despite AGR stress: Bharti Infratel ,92
330,330,Reliance Home Finance defaults on over ₹70 cr term loan repayment,92
331,331,HDFC acquires 6.43% stake in Reliance Capital by invoking pledged shares,92
332,332,About 328 entities opt for RBI's 3-month moratorium on loan repayment: ICRA,93
333,333,"KKR-backed India Grid Trust seeks nearly ₹6,000 crore in solar assets",93
334,334,"Criticism of China over COVID-19 a distraction, it did many things right: Gates",94
335,335,Kim Jong-un is alive and well: S Korean govt adviser after reports of his death,94
336,336,Hundreds call US hotline to ask if they can inject disinfectants after Trump's remark,94
337,337,Coronavirus-hit economy to witness a V-shape recovery: Apple CEO to Trump,94
338,338,Dolphins swim close to Turkey shore amid coronavirus lockdown,94
339,339,"UK reports 413 coronavirus deaths in 24 hours, lowest daily death toll since March 31",94
340,340,Six new symptoms of coronavirus added by US' health protection agency,94
341,341,Pak cleric blames 'scantily dressed women' for coronavirus in presence of PM,95
342,342,Saudi Arabia ends death penalty for those who committed crimes as minors,96
343,343,Over 1 mn download Australia's COVID-19 tracing app despite privacy concerns,96
344,344,Beijing bans 'uncivilised' behaviour amid coronavirus pandemic,96
345,345,China sought out positive comments on handling of COVID-19: Germany,96
346,346,Russia's military reports nearly 900 coronavirus cases,96
347,347,India sends 1 lakh HCQ tablets to B'desh amid COVID-19 pandemic,96
348,348,Nepal rescuers recover bodies of S Korean trekkers after 3 months,96
349,349,"916 foreign workers test COVID-19 +ve in S'pore, cases cross 13,000",96
350,350,Japan adds Russia and 13 others to entry ban list amid COVID-19,96
351,351,US House Speaker Nancy Pelosi endorses Joe Biden for President,97
352,352,"Russia reports 6,361 new COVID-19 cases, total cases exceed 80,000",97
353,353,China confiscates 8.9 crore 'poor quality' face masks: Official,97
354,354,Animals at two mink farms in Netherlands found coronavirus +ve,98
355,355,Italy reports lowest daily coronavirus death toll since mid-March,98
356,356,Yemeni separatists declare self-rule in country's south,98
357,357,Violence increased in Afghanistan after US-Taliban peace deal: UN,98
358,358,COVID-19 situation is bad in Agra: Priyanka shares Mayor's letter to UP CM,98
359,359,Details of procurement of COVID-19 equipment must be made public: Cong,98
360,360,Centre sent faulty coronavirus testing kits to Bengal: Mamata,98
361,361,"Insensitive, inhuman: Rahul on Centre's freeze on DA over COVID-19",98
362,362,Govt proving its incompetence by knee-jerk COVID-19 response: Yechury to PM,98
363,363,IMCT means I Must Cause Trouble: O'Brien on central team's visit to WB,98
364,364,Don't get revenue just by starting wine shops: Sena on Raj Thackeray's demand,98
365,365,Imposing COVID cess on ultra-rich may make up for revenue loss: Kumaraswamy,99
366,366,Why didn't central teams visit states with higher cases than Bengal?: TMC,99
367,367,"West Bengal writes to Centre, assures cooperation to central teams",99
368,368,Govt making sanitiser for rich from poor people's share of rice: Rahul,100
369,369,UP CM's 'Agra Model' will turn city into Wuhan: Akhilesh on Mayor's letter,100
370,370,"Migrant workers are homesick, Centre must arrange for them to go home: Sena",101
371,371,12 crore job losses in 1st phase of coronavirus lockdown: Sonia,101
372,372,Pawar writes to PM on COVID-19 impact on Maharashtra; seeks 'generous' funds,101
373,373,"Sonia writes to PM, suggests 5 steps to help MSMEs amid COVID-19 crisis",101
374,374,"You can't have lockdown of people, lockout of economy: Sibal to govt",101
375,375,J'khand fruit sellers told to remove 'VHP approved Hindu fruit store' banner,101
376,376,4 Cong CMs demand financial help from Centre to fight COVID-19,101
377,377,Shivraj Singh Chouhan expands Cabinet month after taking oath as MP CM,101
378,378,Why govt not passing benefit of reduced oil prices: Congress,101
379,379,You entered into accusatory mode to cover up failures: Bengal Governor to Mamata,101
380,380,"Pawar condemns Palghar mob lynching, says no time to play politics",101
381,381,Centre acted on our Covid-19 suggestions in miserly way: Sonia,101
382,382,"I'm elected, you are nominated: WB CM Mamata to Governor",101
383,383,"Criticism of China over COVID-19 a distraction, it did many things right: Gates",102
384,384, Viral message forwards on WhatsApp drop 70% worldwide after new limits,102
385,385,B'luru hospital uses remote-controlled trolley to serve COVID-19 patients,102
386,386,Coronavirus-hit economy to witness a V-shape recovery: Apple CEO to Trump,102
387,387,"Apple, Google promise to shut COVID-19 tracker once containment ends",102
388,388,Amazon tests using video calls to screen sellers for frauds amid pandemic,103
389,389,"Google starts making face shields, donates 49,000 units to healthcare staff",103
390,390,10 lakh IT staff expected to work from home post lockdown: Infosys Co-founder,103
391,391,"Germany backs Apple-Google COVID-19 tracker, ditches homegrown alternative",103
392,392,Online auction of largest-ever whiskey collection witnesses cyber attack,103
